acao;evento;timestamp;tabela;origem;destino;mascara;gateway
-R;27007;40.202125579387;21;145.236.0.16;145.236.0.8;32;145.236.0.8
-R;27008;40.202125650022;14;145.236.0.9;145.236.0.8;32;145.236.0.8
-R;27009;40.202125763513;18;145.236.0.13;145.236.0.8;32;145.236.0.8
-R;27010;40.202125770299;8;145.236.0.3;145.236.0.8;32;145.236.0.8
-R;27011;40.202125805798;22;145.236.0.17;145.236.0.8;32;145.236.0.8
-R;27012;40.202125832928;11;145.236.0.6;145.236.0.8;32;145.236.0.8
-R;27013;40.202125887355;6;145.236.0.1;145.236.0.8;32;145.236.0.8
-R;27014;40.202125893864;7;145.236.0.2;145.236.0.8;32;145.236.0.8
-R;27015;40.202125941667;15;145.236.0.10;145.236.0.8;32;145.236.0.8
-R;27016;40.202126116122;23;145.236.0.18;145.236.0.8;32;145.236.0.8
-R;27136;40.844221902628;6;145.236.0.1;145.236.0.16;32;145.236.0.16
-R;27431;41.200438442886;8;145.236.0.3;145.236.0.12;32;145.236.0.12
-R;27432;41.20077092947;17;145.236.0.12;145.236.0.3;32;145.236.0.3
-R;27560;41.881225620517;25;145.236.0.20;145.236.0.2;32;145.236.0.4
-R;27561;41.881225908797;12;145.236.0.7;145.236.0.2;32;145.236.0.4
-R;27562;41.881226128778;16;145.236.0.11;145.236.0.2;32;145.236.0.4
-R;27575;41.958328716151;24;145.236.0.19;145.236.0.2;32;145.236.0.18
-R;27576;41.958328723865;20;145.236.0.15;145.236.0.2;32;145.236.0.18
-R;27577;41.958691908273;11;145.236.0.6;145.236.0.2;32;145.236.0.8
-R;27578;41.958691972288;15;145.236.0.10;145.236.0.2;32;145.236.0.8
-R;27579;41.958692223256;9;145.236.0.4;145.236.0.2;32;145.236.0.8
-R;27581;41.959513270678;10;145.236.0.5;145.236.0.2;32;145.236.0.14
-R;27633;42.127559331785;19;145.236.0.14;145.236.0.1;32;145.236.0.15
-R;27861;42.207018610312;10;145.236.0.5;145.236.0.1;32;145.236.0.4
-R;27862;42.207018727137;16;145.236.0.11;145.236.0.1;32;145.236.0.4
-R;27863;42.20701875421;20;145.236.0.15;145.236.0.1;32;145.236.0.4
-R;27880;42.285092622195;12;145.236.0.7;145.236.0.1;32;145.236.0.10
