acao;evento;timestamp;tabela;origem;destino;mascara;gateway;interface
+R;37553;35.529024991502;AODVNetwork.host[18];145.236.0.19;145.236.0.4;32;145.236.0.4;wlan0
+R;37645;35.529381269411;AODVNetwork.host[12];145.236.0.13;145.236.0.14;32;145.236.0.14;wlan0
*R;37645;35.529381269411;AODVNetwork.host[12];145.236.0.13;145.236.0.1;32;145.236.0.14;wlan0
+R;37729;35.530863101044;AODVNetwork.host[9];145.236.0.10;145.236.0.15;32;145.236.0.15;wlan0
+R;37734;35.530863158441;AODVNetwork.host[1];145.236.0.2;145.236.0.15;32;145.236.0.15;wlan0
+R;37739;35.530863191394;AODVNetwork.host[13];145.236.0.14;145.236.0.15;32;145.236.0.15;wlan0
+R;37744;35.530863385319;AODVNetwork.host[19];145.236.0.20;145.236.0.15;32;145.236.0.15;wlan0
+R;37749;35.530863413155;AODVNetwork.host[2];145.236.0.3;145.236.0.15;32;145.236.0.15;wlan0
+R;37754;35.530863450064;AODVNetwork.host[3];145.236.0.4;145.236.0.15;32;145.236.0.15;wlan0
+R;37759;35.530863466513;AODVNetwork.host[17];145.236.0.18;145.236.0.15;32;145.236.0.15;wlan0
+R;37764;35.530863683299;AODVNetwork.host[18];145.236.0.19;145.236.0.15;32;145.236.0.15;wlan0
+R;37769;35.530863684565;AODVNetwork.host[16];145.236.0.17;145.236.0.15;32;145.236.0.15;wlan0
+R;37774;35.530863714853;AODVNetwork.host[7];145.236.0.8;145.236.0.15;32;145.236.0.15;wlan0
*R;38014;35.999078391577;AODVNetwork.host[11];145.236.0.12;145.236.0.1;32;145.236.0.7;wlan0
*R;38019;35.999078402021;AODVNetwork.host[7];145.236.0.8;145.236.0.1;32;145.236.0.7;wlan0
*R;38366;36.002245627455;AODVNetwork.host[9];145.236.0.10;145.236.0.1;32;145.236.0.4;wlan0
*R;38371;36.002245666373;AODVNetwork.host[17];145.236.0.18;145.236.0.1;32;145.236.0.4;wlan0
*R;38376;36.002245710161;AODVNetwork.host[18];145.236.0.19;145.236.0.1;32;145.236.0.4;wlan0
*R;38381;36.002245807707;AODVNetwork.host[1];145.236.0.2;145.236.0.1;32;145.236.0.4;wlan0
+R;38665;36.00404465331;AODVNetwork.host[12];145.236.0.13;145.236.0.10;32;145.236.0.10;wlan0
+R;38675;36.004044726008;AODVNetwork.host[2];145.236.0.3;145.236.0.10;32;145.236.0.10;wlan0
+R;38785;36.00450085906;AODVNetwork.host[2];145.236.0.3;145.236.0.20;32;145.236.0.20;wlan0
+R;38816;36.004511779905;AODVNetwork.host[5];145.236.0.6;145.236.0.18;32;145.236.0.18;wlan0
*R;38816;36.004511779905;AODVNetwork.host[5];145.236.0.6;145.236.0.1;32;145.236.0.18;wlan0
*R;38816;36.004511779905;AODVNetwork.host[5];145.236.0.6;145.236.0.1;32;145.236.0.18;wlan0
+R;38927;36.005450977205;AODVNetwork.host[3];145.236.0.4;145.236.0.17;32;145.236.0.17;wlan0
+R;38932;36.005451165369;AODVNetwork.host[14];145.236.0.15;145.236.0.17;32;145.236.0.17;wlan0
+R;38937;36.005451173856;AODVNetwork.host[7];145.236.0.8;145.236.0.17;32;145.236.0.17;wlan0
*R;39045;36.007004127197;AODVNetwork.host[8];145.236.0.9;145.236.0.1;32;145.236.0.6;wlan0
+R;39050;36.00700418434;AODVNetwork.host[18];145.236.0.19;145.236.0.6;32;145.236.0.6;wlan0
+R;39060;36.007004425719;AODVNetwork.host[17];145.236.0.18;145.236.0.6;32;145.236.0.6;wlan0
+R;39109;36.007752337042;AODVNetwork.host[13];145.236.0.14;145.236.0.13;32;145.236.0.13;wlan0
+R;39114;36.007752379341;AODVNetwork.host[9];145.236.0.10;145.236.0.13;32;145.236.0.13;wlan0
+R;39119;36.007752535232;AODVNetwork.host[1];145.236.0.2;145.236.0.13;32;145.236.0.13;wlan0
-R;39266;36.197160601741;AODVNetwork.host[1];145.236.0.2;145.236.0.12;32;145.236.0.12;wlan0
+R;39473;36.529428002474;AODVNetwork.host[2];145.236.0.3;145.236.0.2;32;145.236.0.2;wlan0
*R;39649;36.530943494843;AODVNetwork.host[7];145.236.0.8;145.236.0.2;32;145.236.0.3;wlan0
*R;39865;36.637904519082;AODVNetwork.host[11];145.236.0.12;145.236.0.1;32;145.236.0.16;wlan0
*R;39934;36.639213071426;AODVNetwork.host[7];145.236.0.8;145.236.0.1;32;145.236.0.5;wlan0
+R;40145;36.640051485264;AODVNetwork.host[4];145.236.0.5;145.236.0.2;32;145.236.0.8;wlan0
*R;40251;36.641012043527;AODVNetwork.host[3];145.236.0.4;145.236.0.1;32;145.236.0.12;wlan0
*R;40256;36.641012229044;AODVNetwork.host[19];145.236.0.20;145.236.0.1;32;145.236.0.12;wlan0
*R;40261;36.641012332527;AODVNetwork.host[13];145.236.0.14;145.236.0.1;32;145.236.0.12;wlan0
*R;40323;36.641528605294;AODVNetwork.host[2];145.236.0.3;145.236.0.1;32;145.236.0.4;wlan0
*R;40323;36.641528605294;AODVNetwork.host[2];145.236.0.3;145.236.0.1;32;145.236.0.4;wlan0
*R;40347;36.641528727916;AODVNetwork.host[16];145.236.0.17;145.236.0.1;32;145.236.0.4;wlan0
*R;40347;36.641528727916;AODVNetwork.host[16];145.236.0.17;145.236.0.1;32;145.236.0.4;wlan0
*R;40352;36.641528746177;AODVNetwork.host[14];145.236.0.15;145.236.0.1;32;145.236.0.4;wlan0
*R;40352;36.641528746177;AODVNetwork.host[14];145.236.0.15;145.236.0.1;32;145.236.0.4;wlan0
*R;40878;36.643760949787;AODVNetwork.host[0];145.236.0.1;145.236.0.2;32;145.236.0.5;wlan0
*R;40943;36.644034515156;AODVNetwork.host[12];145.236.0.13;145.236.0.1;32;145.236.0.10;wlan0
*R;40943;36.644034515156;AODVNetwork.host[12];145.236.0.13;145.236.0.1;32;145.236.0.10;wlan0
+R;41764;36.741877257304;AODVNetwork.host[9];145.236.0.10;145.236.0.2;32;145.236.0.2;wlan0
+R;41773;36.741877280524;AODVNetwork.host[14];145.236.0.15;145.236.0.2;32;145.236.0.2;wlan0
+R;41822;36.741877784818;AODVNetwork.host[12];145.236.0.13;145.236.0.2;32;145.236.0.2;wlan0
+R;41831;36.741877789414;AODVNetwork.host[17];145.236.0.18;145.236.0.2;32;145.236.0.2;wlan0
+R;41841;36.741877832093;AODVNetwork.host[3];145.236.0.4;145.236.0.2;32;145.236.0.2;wlan0
*R;43244;37.198210787471;AODVNetwork.host[11];145.236.0.12;145.236.0.1;32;145.236.0.7;wlan0
*R;43308;37.198795716673;AODVNetwork.host[7];145.236.0.8;145.236.0.1;32;145.236.0.11;wlan0
*R;43763;37.520904150771;AODVNetwork.host[11];145.236.0.12;145.236.0.1;32;145.236.0.16;wlan0
*R;43807;37.522064808049;AODVNetwork.host[7];145.236.0.8;145.236.0.1;32;145.236.0.12;wlan0
*R;43807;37.522064808049;AODVNetwork.host[7];145.236.0.8;145.236.0.1;32;145.236.0.12;wlan0
*R;43899;37.523032601154;AODVNetwork.host[9];145.236.0.10;145.236.0.1;32;145.236.0.14;wlan0
*R;43909;37.52303283974;AODVNetwork.host[14];145.236.0.15;145.236.0.1;32;145.236.0.14;wlan0
*R;43914;37.523032875443;AODVNetwork.host[1];145.236.0.2;145.236.0.1;32;145.236.0.14;wlan0
*R;43923;37.523033014081;AODVNetwork.host[12];145.236.0.13;145.236.0.1;32;145.236.0.14;wlan0
*R;43923;37.523033014081;AODVNetwork.host[12];145.236.0.13;145.236.0.1;32;145.236.0.14;wlan0
*R;43940;37.523033177678;AODVNetwork.host[2];145.236.0.3;145.236.0.1;32;145.236.0.14;wlan0
*R;44194;37.524955165785;AODVNetwork.host[16];145.236.0.17;145.236.0.1;32;145.236.0.8;wlan0
+R;44199;37.524955183807;AODVNetwork.host[9];145.236.0.10;145.236.0.8;32;145.236.0.8;wlan0
*R;44624;37.642365916638;AODVNetwork.host[3];145.236.0.4;145.236.0.2;32;145.236.0.3;wlan0
*R;44624;37.642365916638;AODVNetwork.host[3];145.236.0.4;145.236.0.2;32;145.236.0.3;wlan0
+R;44681;37.646938440279;AODVNetwork.host[11];145.236.0.12;145.236.0.2;32;145.236.0.4;wlan0
*R;44842;37.652101391279;AODVNetwork.host[15];145.236.0.16;145.236.0.2;32;145.236.0.12;wlan0
*R;44842;37.652101391279;AODVNetwork.host[15];145.236.0.16;145.236.0.2;32;145.236.0.12;wlan0
